,ID,reaction_type,Datetime,Content_Type,Category,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 9:43,photo,Studying,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 19:13,photo,Studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021 2:46,photo,Studying,negative,0
3,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021 21:15,photo,healthy eating,negative,0
4,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,8/4/2020 5:40,photo,healthy eating,negative,0
5,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/14/2021 7:21,video,dogs,negative,0
6,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/13/2021 23:35,video,dogs,negative,0
7,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2/11/2021 20:10,video,dogs,negative,0
8,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,5/27/2021 1:44,photo,public speaking,negative,0
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2/13/2021 4:14,photo,public speaking,negative,0
11,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,3/31/2021 15:51,GIF,tennis,negative,0
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,9/11/2020 16:22,GIF,tennis,negative,0
13,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,10/13/2020 16:31,GIF,tennis,negative,0
14,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,7/23/2020 19:31,GIF,tennis,negative,0
15,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,12/8/2020 13:12,video,food,negative,0
16,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,1/5/2021 13:15,video,food,negative,0
17,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,11/8/2020 2:43,video,food,negative,0
18,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,4/19/2021 1:45,video,food,negative,0
19,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,10/18/2020 12:49,video,food,negative,0
21,f332d362-dc48-46c2-a64b-641157c0987e,disgust,2/15/2021 20:35,GIF,soccer,negative,0
22,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,6/9/2021 9:41,video,public speaking,negative,0
23,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,12/26/2020 6:13,video,public speaking,negative,0
24,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,6/15/2021 17:31,video,public speaking,negative,0
25,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,11/21/2020 3:14,video,food,negative,0
26,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,1/1/2021 11:23,video,food,negative,0
27,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,4/10/2021 9:41,video,tennis,negative,0
28,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,12/14/2020 12:53,video,tennis,negative,0
29,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,10/6/2020 10:20,video,tennis,negative,0
30,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,8/27/2020 15:08,video,tennis,negative,0
34,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,12/12/2020 23:02,GIF,soccer,negative,0
35,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,3/30/2021 23:01,GIF,soccer,negative,0
36,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,10/22/2020 3:40,GIF,soccer,negative,0
37,388bd9db-9d10-4f47-87c4-6db46e83bc95,disgust,3/31/2021 0:16,video,education,negative,0
38,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,12/7/2020 0:39,photo,studying,negative,0
39,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,4/7/2021 22:07,photo,studying,negative,0
40,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,7/6/2020 19:29,photo,studying,negative,0
41,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,9/11/2020 20:55,photo,travel,negative,0
42,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,7/26/2020 11:28,photo,travel,negative,0
43,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,disgust,5/11/2021 3:04,audio,dogs,negative,0
44,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,4/28/2021 7:00,GIF,science,negative,0
45,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,8/5/2020 15:37,GIF,science,negative,0
46,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,7/21/2020 9:23,GIF,veganism,negative,0
47,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,6/21/2020 14:10,GIF,veganism,negative,0
48,f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,3/8/2021 2:51,photo,healthy eating,negative,0
51,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,12/22/2020 19:44,video,dogs,negative,0
52,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,7/8/2020 10:18,video,dogs,negative,0
53,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,10/22/2020 15:01,video,dogs,negative,0
54,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,1/17/2021 23:43,video,cooking,negative,0
55,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,6/23/2020 11:28,video,cooking,negative,0
56,eec5e521-4c28-4e8a-93a9-d544803fad7e,disgust,10/10/2020 23:55,audio,food,negative,0
57,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,8/1/2020 8:00,photo,technology,negative,0
58,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,10/6/2020 11:27,photo,technology,negative,0
59,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,6/30/2020 23:11,GIF,healthy eating,negative,0
60,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,1/16/2021 1:40,GIF,healthy eating,negative,0
61,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,5/21/2021 14:58,GIF,healthy eating,negative,0
62,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,10/1/2020 7:34,GIF,healthy eating,negative,0
63,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,7/7/2020 12:17,GIF,healthy eating,negative,0
64,4fa14453-7b29-4302-b51f-9aa23b472c1b,disgust,9/8/2020 15:30,audio,animals,negative,0
67,4478d98e-43e8-4dc0-884d-c1115aa8b970,disgust,7/5/2020 20:02,audio,animals,negative,0
68,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,11/12/2020 19:22,photo,fitness,negative,0
69,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,9/21/2020 8:22,photo,fitness,negative,0
70,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,4/18/2021 13:09,photo,fitness,negative,0
71,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,1/27/2021 15:57,photo,fitness,negative,0
72,bfa4e11c-9d72-49b9-bd43-49d95c2e5181,disgust,12/6/2020 6:14,photo,veganism,negative,0
73,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,6/26/2020 16:08,video,dogs,negative,0
74,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,5/18/2021 9:59,video,dogs,negative,0
75,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,2/22/2021 18:10,video,dogs,negative,0
79,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,disgust,2/7/2021 18:56,GIF,studying,negative,0
80,14ed7f7b-2c96-4458-8a39-606c25c14180,disgust,2/24/2021 3:44,video,tennis,negative,0
81,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,11/24/2020 19:10,GIF,tennis,negative,0
82,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,1/22/2021 16:02,GIF,tennis,negative,0
83,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,3/28/2021 13:07,GIF,tennis,negative,0
84,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,9/3/2020 10:59,GIF,travel,negative,0
85,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,11/10/2020 7:27,GIF,travel,negative,0
86,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,1/25/2021 0:52,GIF,travel,negative,0
87,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,6/26/2020 18:09,GIF,travel,negative,0
88,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,1/20/2021 19:32,GIF,travel,negative,0
89,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,10/24/2020 10:08,video,science,negative,0
90,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,8/7/2020 9:07,video,science,negative,0
91,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,1/16/2021 5:51,video,science,negative,0
92,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,9/21/2020 9:10,video,technology,negative,0
93,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,2/4/2021 7:27,video,technology,negative,0
94,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,5/26/2021 13:22,video,technology,negative,0
95,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,disgust,12/20/2020 1:10,video,science,negative,0
96,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,disgust,6/3/2021 2:16,video,science,negative,0
99,d852b946-01e1-44fe-abd7-26198660cbdb,disgust,9/10/2020 10:21,GIF,food,negative,0
102,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,7/15/2020 19:23,video,culture,negative,0
103,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,2/12/2021 16:04,video,culture,negative,0
104,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,6/25/2020 5:15,video,culture,negative,0
105,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,5/17/2021 13:47,GIF,soccer,negative,0
106,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,4/29/2021 18:04,GIF,soccer,negative,0
107,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,12/15/2020 3:05,GIF,soccer,negative,0
108,026973ef-4b73-4901-9160-bc9e04516057,disgust,12/27/2020 23:36,audio,culture,negative,0
109,026973ef-4b73-4901-9160-bc9e04516057,disgust,10/20/2020 13:31,audio,culture,negative,0
110,f08bdab2-b888-484e-8fd9-919e6ed86c12,disgust,3/25/2021 19:36,audio,education,negative,0
111,258bb775-3c35-4eec-90f3-8b75a52e466a,disgust,11/26/2020 14:04,photo,education,negative,0
112,258bb775-3c35-4eec-90f3-8b75a52e466a,disgust,6/7/2021 4:28,photo,education,negative,0
113,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,12/3/2020 11:30,photo,studying,negative,0
114,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,4/13/2021 7:30,photo,studying,negative,0
115,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,6/24/2020 6:45,photo,studying,negative,0
116,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,1/24/2021 20:52,audio,science,negative,0
117,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,11/25/2020 19:43,audio,science,negative,0
118,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,1/26/2021 15:54,audio,science,negative,0
122,eaddee3e-3a23-47cd-9785-ab7f2120a293,disgust,12/26/2020 9:23,video,science,negative,0
123,eaddee3e-3a23-47cd-9785-ab7f2120a293,disgust,4/2/2021 21:00,video,science,negative,0
124,9ef39aa2-60f9-4e4b-b666-c6cb97015503,disgust,1/16/2021 7:00,GIF,travel,negative,0
125,841403fd-321b-4118-90b3-cc0075d64047,disgust,9/27/2020 6:26,GIF,studying,negative,0
128,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,12/29/2020 8:39,photo,science,negative,0
